Variable Name,Variable Description,Data File Name,Data File Description,Begin Year,EndYear,Component,Use Constraints
AIALANGA,Language of the MEC ACASI Interview Instrument,P_DEMO,Demographic Variables and Sample Weights,2017,2020,Demographics,None
DMDBORN4,In what country {were you/was SP} born?,P_DEMO,Demographic Variables and Sample Weights,2017,2020,Demographics,None
DMDEDUC2,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,P_DEMO,Demographic Variables and Sample Weights,2017,2020,Demographics,None
DMDMARTZ,Marital status,P_DEMO,Demographic Variables and Sample Weights,2017,2020,Demographics,None
DMDYRUSZ,Length of time the participant has been in the US.,P_DEMO,Demographic Variables and Sample Weights,2017,2020,Demographics,None
FIAINTRP,Was an interpreter used to conduct the Family interview?,P_DEMO,Demographic Variables and Sample Weights,2017,2020,Demographics,None
FIALANG,Language of the Family Interview Instrument,P_DEMO,Demographic Variables and Sample Weights,2017,2020,Demographics,None
FIAPROXY,Was a Proxy respondent used in conducting the Family Interview?,P_DEMO,Demographic Variables and Sample Weights,2017,2020,Demographics,None
INDFMPIR,A ratio of family income to poverty guidelines.,P_DEMO,Demographic Variables and Sample Weights,2017,2020,Demographics,None
MIAINTRP,Was an interpreter used to conduct the MEC CAPI interview?,P_DEMO,Demographic Variables and Sample Weights,2017,2020,Demographics,None
MIALANG,Language of the MEC CAPI Interview Instrument,P_DEMO,Demographic Variables and Sample Weights,2017,2020,Demographics,None
MIAPROXY,Was a Proxy respondent used in conducting the MEC CAPI Interview?,P_DEMO,Demographic Variables and Sample Weights,2017,2020,Demographics,None
RIAGENDR,Gender of the participant.,P_DEMO,Demographic Variables and Sample Weights,2017,2020,Demographics,None
RIDAGEMN,Age in months of the participant at the time of screening. Reported for persons aged 24 months or younger at the time of exam (or screening if not examined).,P_DEMO,Demographic Variables and Sample Weights,2017,2020,Demographics,None
RIDAGEYR,Age in years of the participant at the time of screening. Individuals 80 and over are topcoded at 80 years of age.,P_DEMO,Demographic Variables and Sample Weights,2017,2020,Demographics,None
RIDEXMON,"Six month time period when the examination was performed - two categories: November 1 through April 30, May 1 through October 31.",P_DEMO,Demographic Variables and Sample Weights,2017,2020,Demographics,None
RIDEXPRG,Pregnancy status for females between 20 and 44 years of age at the time of MEC exam.,P_DEMO,Demographic Variables and Sample Weights,2017,2020,Demographics,None
RIDRETH1,Recode of reported race and Hispanic origin information,P_DEMO,Demographic Variables and Sample Weights,2017,2020,Demographics,None
RIDRETH3,"Recode of reported race and Hispanic origin information, with Non-Hispanic Asian Category",P_DEMO,Demographic Variables and Sample Weights,2017,2020,Demographics,None
RIDSTATR,Interview and examination status of the participant.,P_DEMO,Demographic Variables and Sample Weights,2017,2020,Demographics,None
SDDSRVYR,Data release cycle,P_DEMO,Demographic Variables and Sample Weights,2017,2020,Demographics,None
SDMVPSU,Masked variance unit pseudo-PSU variable for variance estimation,P_DEMO,Demographic Variables and Sample Weights,2017,2020,Demographics,None
SDMVSTRA,Masked variance unit pseudo-stratum variable for variance estimation,P_DEMO,Demographic Variables and Sample Weights,2017,2020,Demographics,None
SEQN,Respondent sequence number.,P_DEMO,Demographic Variables and Sample Weights,2017,2020,Demographics,None
SIAINTRP,Was an interpreter used to conduct the Sample Person (SP) interview?,P_DEMO,Demographic Variables and Sample Weights,2017,2020,Demographics,None
SIALANG,Language of the Sample Person Interview Instrument,P_DEMO,Demographic Variables and Sample Weights,2017,2020,Demographics,None
SIAPROXY,Was a Proxy respondent used in conducting the Sample Person (SP) interview?,P_DEMO,Demographic Variables and Sample Weights,2017,2020,Demographics,None
WTINTPRP,Full sample interview weight,P_DEMO,Demographic Variables and Sample Weights,2017,2020,Demographics,None
WTMECPRP,Full sample MEC exam weight,P_DEMO,Demographic Variables and Sample Weights,2017,2020,Demographics,None
BMDBMIC,BMI Category - Children/Youth,P_BMX,Body Measures,2017,2020,Examination,None
BMDSTATS,Body Measures Component status Code,P_BMX,Body Measures,2017,2020,Examination,None
BMIARMC,Arm Circumference Comment,P_BMX,Body Measures,2017,2020,Examination,None
BMIARML,Upper Arm Length Comment,P_BMX,Body Measures,2017,2020,Examination,None
BMIHEAD,Head Circumference Comment,P_BMX,Body Measures,2017,2020,Examination,None
BMIHIP,Hip Circumference Comment,P_BMX,Body Measures,2017,2020,Examination,None
BMIHT,Standing Height Comment,P_BMX,Body Measures,2017,2020,Examination,None
BMILEG,Upper Leg Length Comment,P_BMX,Body Measures,2017,2020,Examination,None
BMIRECUM,Recumbent Length Comment,P_BMX,Body Measures,2017,2020,Examination,None
BMIWAIST,Waist Circumference Comment,P_BMX,Body Measures,2017,2020,Examination,None
BMIWT,Weight Comment,P_BMX,Body Measures,2017,2020,Examination,None
BMXARMC,Arm Circumference (cm),P_BMX,Body Measures,2017,2020,Examination,None
BMXARML,Upper Arm Length (cm),P_BMX,Body Measures,2017,2020,Examination,None
BMXBMI,Body Mass Index (kg/m**2),P_BMX,Body Measures,2017,2020,Examination,None
BMXHEAD,Head Circumference (cm),P_BMX,Body Measures,2017,2020,Examination,None
BMXHIP,Hip Circumference (cm),P_BMX,Body Measures,2017,2020,Examination,None
BMXHT,Standing Height (cm),P_BMX,Body Measures,2017,2020,Examination,None
BMXLEG,Upper Leg Length (cm),P_BMX,Body Measures,2017,2020,Examination,None
BMXRECUM,Recumbent Length (cm),P_BMX,Body Measures,2017,2020,Examination,None
BMXWAIST,Waist Circumference (cm),P_BMX,Body Measures,2017,2020,Examination,None
BMXWT,Weight (kg),P_BMX,Body Measures,2017,2020,Examination,None
SEQN,Respondent sequence number.,P_BMX,Body Measures,2017,2020,Examination,None
BPAOARM,Arm selected - oscillometric,P_BPXO,Blood Pressure - Oscillometric Measurement,2017,2020,Examination,None
BPAOCSZ,Mid arm circumference (cm) cuffing parameters - oscillometric,P_BPXO,Blood Pressure - Oscillometric Measurement,2017,2020,Examination,None
BPXODI1,Diastolic - 1st oscillometric reading,P_BPXO,Blood Pressure - Oscillometric Measurement,2017,2020,Examination,None
BPXODI2,Diastolic - 2nd oscillometric reading,P_BPXO,Blood Pressure - Oscillometric Measurement,2017,2020,Examination,None
BPXODI3,Diastolic - 3rd oscillometric reading,P_BPXO,Blood Pressure - Oscillometric Measurement,2017,2020,Examination,None
