"","SEQN","INDFMMPI","INDFMMPC"
"1",109263,3.26,3
"2",109264,1.29,1
"3",109265,2.04,3
"4",109266,5,3
"5",109267,5,3
"6",109268,1.19,1
"7",109269,1.03,1
"8",109270,1.69,2
"9",109271,1.2,1
"10",109272,0.3,1
"11",109273,0.53,1
"12",109274,1.2,1
"13",109275,3.74,3
"14",109276,0,1
"15",109277,NA,2
"16",109278,NA,9
"17",109279,1.02,1
"18",109280,0.73,1
"19",109281,0.77,1
"20",109282,3.18,3
"21",109283,0.96,1
"22",109284,NA,7
"23",109285,2.39,3
"24",109286,1.22,1
"25",109287,0.6,1
"26",109288,NA,1
"27",109289,0.8,1
"28",109290,4.8,3
"29",109291,NA,NA
"30",109292,1.81,2
"31",109293,0.05,1
"32",109294,5,3
"33",109295,4.37,3
"34",109296,1.41,2
"35",109297,NA,3
"36",109298,1.74,2
"37",109299,5,3
"38",109300,2.89,3
"39",109301,0.35,1
"40",109302,1.39,2
"41",109303,1.03,1
"42",109304,2.8,3
"43",109305,5,3
"44",109306,1.67,2
"45",109307,NA,3
"46",109308,1.91,3
"47",109309,NA,1
"48",109310,5,3
"49",109311,2.81,3
"50",109312,4.89,3
"51",109313,5,3
"52",109314,2.33,3
"53",109315,1.19,1
"54",109316,0.73,1
"55",109317,NA,NA
"56",109318,0,1
"57",109319,2.22,3
"58",109320,NA,9
"59",109321,NA,1
"60",109322,2.87,3
"61",109323,NA,2
"62",109324,0.94,1
"63",109325,5,3
"64",109326,5,3
"65",109327,3.5,3
"66",109328,2.29,3
"67",109329,0.68,1
"68",109330,2.13,3
"69",109331,0.6,1
"70",109332,NA,NA
"71",109333,5,3
"72",109334,0.96,1
"73",109335,0,1
"74",109336,4.01,3
"75",109337,1.18,1
"76",109338,NA,3
"77",109339,1.35,2
"78",109340,0.89,1
"79",109341,3.82,3
"80",109342,1.19,1
"81",109343,4.21,3
"82",109344,0.33,1
"83",109345,0.35,1
"84",109346,0.55,1
"85",109347,0.73,1
"86",109348,5,3
"87",109349,NA,NA
"88",109350,1.15,1
"89",109351,NA,1
"90",109352,4.17,3
"91",109353,NA,NA
"92",109354,NA,NA
"93",109355,NA,NA
"94",109356,NA,NA
"95",109357,3.73,3
"96",109358,NA,9
"97",109359,1.44,2
"98",109360,NA,2
"99",109361,0.96,1
"100",109362,0.03,1
"101",109363,NA,3
"102",109364,1.33,2
"103",109365,0.99,1
"104",109366,5,3
"105",109367,NA,NA
"106",109368,1.63,2
"107",109369,2.26,3
"108",109370,NA,NA
"109",109371,4.74,3
"110",109372,1.07,1
"111",109373,1.71,2
"112",109374,0.92,1
"113",109375,NA,3
"114",109376,3.46,3
"115",109377,1.56,2
"116",109378,5,3
"117",109379,1.41,2
"118",109380,1.56,2
"119",109381,0.98,1
"120",109382,1.39,2
"121",109383,2.44,3
"122",109384,1.11,1
"123",109385,0.38,1
"124",109386,0.5,1
"125",109387,1.67,2
"126",109388,2.39,3
"127",109389,5,3
"128",109390,2.2,3
"129",109391,0.92,1
"130",109392,NA,1
"131",109393,0.89,1
"132",109394,0.6,1
"133",109395,4.11,3
"134",109396,1.84,2
"135",109397,2.22,3
"136",109398,NA,9
"137",109399,0.4,1
"138",109400,5,3
"139",109401,1.86,3
"140",109402,NA,9
"141",109403,5,3
"142",109404,1.19,1
"143",109405,0.73,1
"144",109406,0.82,1
"145",109407,4.97,3
"146",109408,1.37,2
"147",109409,0.52,1
"148",109410,4.12,3
"149",109411,5,3
"150",109412,NA,NA
"151",109413,NA,NA
"152",109414,0.77,1
"153",109415,2.96,3
"154",109416,1.48,2
"155",109417,0.96,1
"156",109418,0.98,1
"157",109419,4.11,3
"158",109420,2.44,3
"159",109421,NA,2
"160",109422,1.07,1
"161",109423,NA,1
"162",109424,3.35,3
"163",109425,2.78,3
"164",109426,4.62,3
"165",109427,4.19,3
"166",109428,1.33,2
"167",109429,1.07,1
"168",109430,1.84,2
"169",109431,1.66,2
"170",109432,3.14,3
"171",109433,1.13,1
"172",109434,0.2,1
"173",109435,1.46,2
"174",109436,4.32,3
"175",109437,0.72,1
"176",109438,2.89,3
"177",109439,1.77,2
"178",109440,NA,3
"179",109441,1,1
"180",109442,2.75,3
"181",109443,1.96,3
"182",109444,1.07,1
"183",109445,NA,NA
"184",109446,1.31,2
"185",109447,0.52,1
"186",109448,5,3
"187",109449,2.2,3
"188",109450,0.62,1
"189",109451,3.34,3
"190",109452,NA,NA
"191",109453,0.13,1
"192",109454,0.38,1
"193",109455,5,3
"194",109456,1.46,2
"195",109457,5,3
"196",109458,0.95,1
"197",109459,1.45,2
"198",109460,NA,NA
"199",109461,1.15,1
"200",109462,5,3
"201",109463,2.73,3
"202",109464,0.84,1
"203",109465,0.28,1
"204",109466,NA,1
"205",109467,5,3
"206",109468,0.82,1
"207",109469,0.95,1
"208",109470,0.98,1
"209",109471,2.08,3
"210",109472,3.28,3
"211",109473,NA,2
"212",109474,1.85,2
"213",109475,2.08,3
"214",109476,0.82,1
"215",109477,3.26,3
"216",109478,4.11,3
"217",109479,NA,1
"218",109480,1.33,2
"219",109481,2.39,3
"220",109482,5,3
"221",109483,NA,9
"222",109484,0.28,1
"223",109485,2.15,3
"224",109486,5,3
"225",109487,1.69,2
"226",109488,0.68,1
"227",109489,NA,NA
"228",109490,NA,NA
"229",109491,NA,1
"230",109492,NA,1
"231",109493,2.13,3
"232",109494,2.17,3
"233",109495,4.63,3
"234",109496,5,3
"235",109497,1.06,1
"236",109498,5,3
"237",109499,5,3
"238",109500,0.85,1
"239",109501,5,3
"240",109502,NA,2
"241",109503,5,3
"242",109504,2.13,3
"243",109505,2.3,3
"244",109506,2.78,3
"245",109507,0.33,1
"246",109508,5,3
"247",109509,NA,NA
"248",109510,NA,1
"249",109511,0.98,1
"250",109512,5,3
"251",109513,4.97,3
"252",109514,0.63,1
"253",109515,1.39,2
"254",109516,0.47,1
"255",109517,1.22,1
"256",109518,5,3
"257",109519,1.54,2
"258",109520,0.88,1
"259",109521,0.03,1
"260",109522,5,3
"261",109523,1.78,2
"262",109524,NA,NA
"263",109525,NA,NA
"264",109526,NA,NA
"265",109527,1.92,3
"266",109528,1.34,2
"267",109529,1.84,2
"268",109530,1.28,1
"269",109531,NA,NA
"270",109532,3.94,3
"271",109533,NA,NA
"272",109534,0.41,1
"273",109535,0,1
"274",109536,5,3
"275",109537,NA,NA
"276",109538,0.95,1
"277",109539,1.32,2
"278",109540,1.05,1
"279",109541,1.96,3
"280",109542,0.71,1
"281",109543,3.9,3
"282",109544,1.14,1
"283",109545,NA,1
"284",109546,0,1
"285",109547,1.22,1
"286",109548,1.66,2
"287",109549,NA,3
"288",109550,2.22,3
"289",109551,NA,1
"290",109552,2.79,3
"291",109553,0.29,1
"292",109554,0.93,1
"293",109555,0,1
"294",109556,3.46,3
"295",109557,1.12,1
"296",109558,4.18,3
"297",109559,1.55,2
"298",109560,NA,NA
"299",109561,5,3
"300",109562,2.37,3
"301",109563,3.65,3
"302",109564,0,1
"303",109565,0.91,1
"304",109566,0.57,1
"305",109567,5,3
"306",109568,1.81,2
"307",109569,1.73,2
"308",109570,3.28,3
"309",109571,0.8,1
"310",109572,1.18,1
"311",109573,0.11,1
"312",109574,4.11,3
"313",109575,3.21,3
"314",109576,1.26,1
"315",109577,NA,9
"316",109578,NA,NA
"317",109579,1.41,2
"318",109580,NA,3
"319",109581,1.14,1
"320",109582,NA,3
"321",109583,NA,NA
"322",109584,0.46,1
"323",109585,1.63,2
"324",109586,2.78,3
"325",109587,5,3
"326",109588,3.65,3
"327",109589,2.66,3
"328",109590,NA,9
"329",109591,0.47,1
"330",109592,NA,NA
"331",109593,0.82,1
"332",109594,1.26,1
"333",109595,1.67,2
"334",109596,1.28,1
"335",109597,3.31,3
"336",109598,3.46,3
"337",109599,5,3
"338",109600,5,3
"339",109601,NA,NA
"340",109602,NA,NA
"341",109603,5,3
"342",109604,5,3
"343",109605,0.51,1
"344",109606,5,3
"345",109607,1.6,2
"346",109608,5,3
"347",109609,NA,9
"348",109610,NA,NA
"349",109611,0.05,1
"350",109612,NA,NA
"351",109613,0.9,1
"352",109614,NA,3
"353",109615,5,3
"354",109616,4.7,3
"355",109617,NA,9
"356",109618,5,3
"357",109619,1.06,1
"358",109620,NA,2
"359",109621,5,3
"360",109622,3.44,3
"361",109623,5,3
"362",109624,1.22,1
"363",109625,1.43,2
"364",109626,1.65,2
"365",109627,0.63,1
"366",109628,0.67,1
"367",109629,NA,2
"368",109630,1.48,2
"369",109631,3.52,3
"370",109632,NA,2
"371",109633,3.88,3
"372",109634,0.87,1
"373",109635,NA,9
"374",109636,0.61,1
"375",109637,2.22,3
"376",109638,2.6,3
"377",109639,NA,NA
"378",109640,4.37,3
"379",109641,2.4,3
"380",109642,0.4,1
"381",109643,1.46,2
"382",109644,0.75,1
"383",109645,0.68,1
"384",109646,NA,2
"385",109647,0.87,1
"386",109648,0.8,1
"387",109649,4.47,3
"388",109650,2.31,3
"389",109651,0.84,1
"390",109652,0.84,1
"391",109653,3.36,3
"392",109654,NA,3
"393",109655,NA,9
"394",109656,1.82,2
"395",109657,5,3
"396",109658,1.2,1
"397",109659,1.09,1
"398",109660,1.86,3
"399",109661,3.55,3
"400",109662,NA,9
"401",109663,5,3
"402",109664,1.95,3
"403",109665,2.84,3
"404",109666,0.86,1
"405",109667,2.13,3
"406",109668,0.94,1
"407",109669,0.93,1
"408",109670,0.75,1
"409",109671,3.82,3
"410",109672,5,3
"411",109673,NA,9
"412",109674,0.53,1
"413",109675,5,3
"414",109676,2.79,3
"415",109677,4.59,3
"416",109678,0.8,1
"417",109679,1.41,2
"418",109680,4.5,3
"419",109681,NA,NA
"420",109682,1.18,1
"421",109683,0.73,1
"422",109684,0,1
"423",109685,2.2,3
"424",109686,0.44,1
"425",109687,2.57,3
"426",109688,5,3
"427",109689,0.9,1
"428",109690,2.08,3
"429",109691,0.9,1
"430",109692,2.89,3
"431",109693,0.73,1
"432",109694,5,3
"433",109695,2.45,3
"434",109696,NA,NA
"435",109697,0.82,1
"436",109698,NA,2
"437",109699,0.51,1
"438",109700,3.06,3
"439",109701,5,3
"440",109702,4.27,3
"441",109703,3.98,3
"442",109704,3.55,3
"443",109705,0.74,1
"444",109706,0.46,1
"445",109707,0.68,1
"446",109708,0.49,1
"447",109709,5,3
"448",109710,1.6,2
"449",109711,1.18,1
"450",109712,NA,NA
"451",109713,2.25,3
"452",109714,5,3
"453",109715,0,1
"454",109716,0.59,1
"455",109717,0.8,1
"456",109718,2.4,3
"457",109719,4.62,3
"458",109720,NA,1
"459",109721,NA,9
"460",109722,NA,1
"461",109723,NA,3
"462",109724,NA,1
"463",109725,NA,1
"464",109726,1.66,2
"465",109727,NA,3
"466",109728,0.89,1
"467",109729,2.32,3
"468",109730,0.21,1
"469",109731,0.41,1
"470",109732,5,3
"471",109733,2.78,3
