"","SEQN","OCD150","OCQ180","OCQ210","OCQ670","OCD383"
"1",109266,1,40,NA,1,NA
"2",109267,1,40,NA,1,NA
"3",109268,4,NA,NA,NA,2
"4",109271,4,NA,NA,NA,4
"5",109273,1,28,2,2,NA
"6",109274,4,NA,NA,NA,3
"7",109279,4,NA,NA,NA,2
"8",109282,4,NA,NA,NA,1
"9",109283,4,NA,NA,NA,4
"10",109284,1,38,NA,5,NA
"11",109285,4,NA,NA,NA,7
"12",109286,1,20,2,5,NA
"13",109290,1,60,NA,2,NA
"14",109291,1,8,2,5,NA
"15",109292,4,NA,NA,NA,4
"16",109293,3,NA,NA,NA,NA
"17",109295,1,43,NA,1,NA
"18",109297,1,16,2,1,NA
"19",109298,4,NA,NA,NA,3
"20",109300,1,60,NA,5,NA
"21",109303,2,NA,2,5,NA
"22",109305,1,40,NA,1,NA
"23",109307,1,72,NA,5,NA
"24",109311,1,36,NA,1,NA
"25",109312,1,16,2,5,NA
"26",109313,1,25,2,1,NA
"27",109315,1,28,1,5,NA
"28",109316,4,NA,NA,NA,4
"29",109317,1,30,1,1,NA
"30",109319,1,40,NA,2,NA
"31",109321,2,NA,2,5,NA
"32",109322,1,56,NA,1,NA
"33",109323,1,35,NA,5,NA
"34",109324,4,NA,NA,NA,4
"35",109326,4,NA,NA,NA,1
"36",109327,1,40,NA,1,NA
"37",109330,4,NA,NA,NA,3
"38",109331,1,20,2,1,NA
"39",109332,4,NA,NA,NA,4
"40",109333,1,40,NA,1,NA
"41",109334,1,40,NA,2,NA
"42",109335,4,NA,NA,NA,7
"43",109336,4,NA,NA,NA,4
"44",109337,1,40,NA,2,NA
"45",109340,1,10,2,5,NA
"46",109342,4,NA,NA,NA,7
"47",109343,4,NA,NA,NA,3
"48",109346,3,NA,NA,NA,NA
"49",109348,1,40,NA,1,NA
"50",109349,1,40,NA,1,NA
"51",109350,4,NA,NA,NA,4
"52",109351,4,NA,NA,NA,7
"53",109353,1,70,NA,1,NA
"54",109354,2,NA,1,3,NA
"55",109359,1,40,NA,2,NA
"56",109361,3,NA,NA,NA,NA
"57",109363,2,NA,1,1,NA
"58",109365,1,32,2,5,NA
"59",109367,4,NA,NA,NA,3
"60",109369,4,NA,NA,NA,4
"61",109371,1,40,NA,1,NA
